sampleID,Butyric spores,Coag pos Staph,E coli,Enterobacteriaceae,Enterococci,Fac heteroferm,Lactobacilli,Mesophilic aerobic total,Moulds,PAB,Salt tolerant,Spores,Streptococci,Yeasts
EH_301_vatmilk_0h,1.724275869600789,1.0,1.0,1.0,1.0,1.0,1.0,4.146128035678238,1.0,1.0,3.544068044350276,1.724275869600789,3.204119982655925,1.0
EH_302_vatmilk_0h,1.724275869600789,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.724275869600789,1.0,1.0
EH_303_vatmilk_0h,1.724275869600789,1.0,1.0,1.0,2.845098040014257,1.0,1.0,5.079181246047625,1.0,1.0,3.518513939877888,1.724275869600789,5.518513939877887,2.176091259055681
EH_304_vatmilk_0h,1.724275869600789,1.0,1.0,2.0,3.57978359661681,1.0,1.0,5.113943352306837,1.0,1.0,3.880813592280791,1.724275869600789,5.176091259055681,1.0
EH_305_vatmilk_0h,1.724275869600789,1.0,1.0,1.0,1.0,1.0,1.0,4.929418925714293,1.0,1.0,3.505149978319906,1.724275869600789,5.477121254719663,1.0
EH_306_vatmilk_0h,1.724275869600789,1.0,1.0,1.0,2.724275869600789,1.301029995663981,2.397940008672037,4.301029995663981,1.0,1.0,3.431363764158987,1.724275869600789,4.342422680822207,4.146128035678238
EH_307_vatmilk_0h,1.724275869600789,1.0,1.0,1.0,3.278753600952829,1.0,3.176091259055681,4.380211241711606,1.0,1.0,3.57978359661681,1.724275869600789,4.612783856719735,3.431363764158987
EH_308_vatmilk_0h,1.724275869600789,1.0,1.0,2.255272505103306,2.041392685158225,1.0,2.361727836017593,3.929418925714293,1.0,1.0,3.342422680822206,1.724275869600789,4.230448921378274,1.0
EH_309_vatmilk_0h,1.724275869600789,1.0,1.0,1.0,1.0,1.0,2.041392685158225,3.361727836017593,1.0,1.0,3.204119982655925,1.724275869600789,2.944482672150169,1.0
EH_310_vatmilk_0h,1.724275869600789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.724275869600789,1.0,1.0
EH_311_vatmilk_0h,1.724275869600789,1.0,1.0,1.0,2.924279286061882,1.0,1.0,5.176091259055681,1.0,1.0,3.278753600952829,1.724275869600789,5.176091259055681,2.041392685158225
EH_312_vatmilk_0h,1.724275869600789,1.0,1.0,1.0,3.491361693834273,1.0,1.0,5.176091259055681,1.0,1.0,3.707570176097936,1.724275869600789,5.176091259055681,1.0
EH_313_vatmilk_0h,1.724275869600789,1.0,1.0,1.0,2.0,1.301029995663981,1.0,5.176091259055681,1.0,1.0,3.204119982655925,1.724275869600789,5.176091259055681,1.0
EH_314_vatmilk_0h,1.724275869600789,1.0,1.0,1.0,2.278753600952829,1.0,2.079181246047625,4.0,1.0,1.0,3.278753600952829,1.724275869600789,4.079181246047625,3.869231719730976
EH_315_vatmilk_0h,1.724275869600789,1.0,1.0,1.0,3.301029995663981,1.0,3.707570176097936,3.973127853599699,1.0,1.0,3.462397997898956,1.724275869600789,3.869231719730976,3.556302500767287
EH_316_vatmilk_0h,1.724275869600789,1.0,1.0,1.0,1.0,1.0,2.857332496431269,4.32221929473392,1.0,1.0,3.301029995663981,1.724275869600789,3.968482948553935,1.0
