sampleID,AdjunctCulture,Age[d],Experiment,MilkTreatment,SampleNumber,SampleType,Season,Semester,SubExperiment,Trial,production_date
EH_301_cheese_120d,None,120,Liebefeld,raw,301,cheese,spring,summer,3.1,20-22-83,2022-05-04
EH_302_cheese_120d,None,120,Liebefeld,therm.,302,cheese,spring,summer,3.1,20-22-83,2022-05-04
EH_303_cheese_120d,eRM.y ,120,Liebefeld,raw,303,cheese,spring,summer,3.1,20-22-83,2022-05-04
EH_304_cheese_120d,eRM.H.y,120,Liebefeld,raw,304,cheese,spring,summer,3.1,20-22-83,2022-05-04
EH_305_cheese_120d,eRM.HS.y,120,Liebefeld,raw,305,cheese,spring,summer,3.1,20-22-83,2022-05-04
EH_306_cheese_120d,eRM.o,120,Liebefeld,raw,306,cheese,spring,summer,3.1,20-22-83,2022-05-04
EH_307_cheese_120d,eRM.H.o,120,Liebefeld,raw,307,cheese,spring,summer,3.1,20-22-83,2022-05-04
EH_308_cheese_120d,eRM.HS.o,120,Liebefeld,raw,308,cheese,spring,summer,3.1,20-22-83,2022-05-04
EH_309_cheese_120d,None,120,Liebefeld,raw,309,cheese,spring,summer,3.2,20-22-83,2022-05-05
EH_310_cheese_120d,None,120,Liebefeld,therm.,310,cheese,spring,summer,3.2,20-22-83,2022-05-05
EH_311_cheese_120d,eRM.y ,120,Liebefeld,raw,311,cheese,spring,summer,3.2,20-22-83,2022-05-05
EH_312_cheese_120d,eRM.H.y,120,Liebefeld,raw,312,cheese,spring,summer,3.2,20-22-83,2022-05-05
EH_313_cheese_120d,eRM.HS.y,120,Liebefeld,raw,313,cheese,spring,summer,3.2,20-22-83,2022-05-05
EH_314_cheese_120d,eRM.o,120,Liebefeld,raw,314,cheese,spring,summer,3.2,20-22-83,2022-05-05
EH_315_cheese_120d,eRM.H.o,120,Liebefeld,raw,315,cheese,spring,summer,3.2,20-22-83,2022-05-05
EH_316_cheese_120d,eRM.HS.o,120,Liebefeld,raw,316,cheese,spring,summer,3.2,20-22-83,2022-05-05
