sampleID,Butyric spores,Coag pos Staph,E coli,Enterobacteriaceae,Enterococci,Fac heteroferm,Lactobacilli,Mesophilic aerobic total,Moulds,PAB,Salt tolerant,Spores,Streptococci,Yeasts
EH_301_cheese_24h,2.724275869600789,2.0,4.838849090737256,4.778151250383644,5.204119982655925,3.146128035678238,3.146128035678238,6.176091259055681,2.0,2.0,5.612783856719735,2.724275869600789,4.361727836017593,2.0
EH_302_cheese_24h,2.724275869600789,2.0,2.0,2.0,2.0,2.0,2.0,6.176091259055681,2.0,2.0,2.0,2.724275869600789,8.462397997898956,2.0
EH_303_cheese_24h,2.724275869600789,2.0,4.845098040014257,4.903089986991944,5.146128035678238,3.0,2.778151250383643,6.176091259055681,2.0,2.0,5.146128035678238,2.724275869600789,8.903089986991944,3.462397997898956
EH_305_cheese_24h,2.724275869600789,2.0,4.748188027006201,4.698970004336019,4.897627091290442,2.778151250383643,2.954242509439325,6.176091259055681,2.0,2.0,4.740362689494244,2.724275869600789,8.531478917042255,2.0
EH_306_cheese_24h,2.724275869600789,2.0,5.0,5.041392685158225,5.204119982655925,2.778151250383643,2.903089986991944,6.176091259055681,2.0,2.0,4.919078092376074,2.724275869600789,9.255272505103306,4.913813852383717
EH_307_cheese_24h,2.724275869600789,2.0,4.880813592280791,5.113943352306837,5.806179973983888,2.778151250383643,2.0,6.176091259055681,2.0,2.0,5.949390006644912,2.724275869600789,9.57978359661681,5.041392685158225
EH_308_cheese_24h,2.724275869600789,2.0,4.954242509439325,5.079181246047625,5.531478917042255,2.778151250383643,2.602059991327963,6.176091259055681,2.0,2.0,4.892094602690481,2.724275869600789,9.778151250383644,3.763427993562937
EH_309_cheese_24h,2.724275869600789,2.0,4.0,4.477121254719663,4.819543935541868,3.778151250383644,3.924279286061882,4.204119982655925,2.0,2.0,4.690196080028514,2.724275869600789,8.785329835010767,3.491361693834273
EH_310_cheese_24h,2.724275869600789,2.0,2.0,3.0,3.0,2.0,2.0,6.176091259055681,2.0,2.0,3.322219294733919,2.724275869600789,8.230448921378274,3.380211241711606
EH_311_cheese_24h,2.724275869600789,2.0,4.278753600952829,4.531478917042255,5.041392685158225,3.113943352306837,9.301029995663981,6.176091259055681,2.0,2.0,4.982271233039568,2.724275869600789,8.6232492903979,3.113943352306837
EH_312_cheese_24h,2.724275869600789,2.0,3.653212513775344,3.913813852383717,6.041392685158225,3.176091259055681,3.380211241711606,6.176091259055681,2.0,2.0,5.838849090737256,2.724275869600789,8.6232492903979,3.0
EH_313_cheese_24h,2.724275869600789,2.0,4.230448921378274,4.342422680822207,4.690196080028514,3.491361693834273,3.643452676486187,6.176091259055681,2.0,2.0,4.414973347970818,2.724275869600789,8.7160033436348,3.204119982655925
EH_314_cheese_24h,2.724275869600789,2.0,4.518513939877887,4.707570176097937,4.986771734266245,3.518513939877888,6.301029995663981,6.176091259055681,2.0,2.0,5.079181246047625,2.724275869600789,8.897627091290442,5.146128035678238
EH_315_cheese_24h,2.724275869600789,2.0,4.204119982655925,4.462397997898956,5.556302500767287,2.845098040014257,7.462397997898956,6.176091259055681,2.0,2.0,5.447158031342219,2.724275869600789,8.681241237375588,4.397940008672037
EH_316_cheese_24h,2.724275869600789,2.0,4.0,4.361727836017593,4.724275869600789,3.278753600952829,6.792391689498253,6.176091259055681,2.0,2.0,4.633468455579586,2.724275869600789,8.857332496431269,4.477121254719663
