sampleID,Butyric spores,Coag pos Staph,E coli,Enterobacteriaceae,Enterococci,Fac heteroferm,Lactobacilli,Mesophilic aerobic total,Moulds,PAB,Salt tolerant,Spores,Streptococci,Yeasts
EH_301_cheese_120d,2.724275869600789,2.0,2.0,2.0,5.342422680822207,6.845098040014257,6.698970004336019,6.176091259055681,3.278753600952829,2.0,5.991226075692495,2.724275869600789,6.698970004336019,3.0
EH_302_cheese_120d,2.724275869600789,2.0,1.0,2.0,2.0,2.0,3.0,6.176091259055681,3.491361693834273,4.32221929473392,4.204119982655925,2.724275869600789,7.079181246047625,2.0
EH_303_cheese_120d,2.724275869600789,2.0,3.0,5.204119982655925,5.361727836017593,6.653212513775344,6.698970004336019,6.176091259055681,2.0,3.322219294733919,5.544068044350276,2.724275869600789,6.681241237375588,2.0
EH_304_cheese_120d,2.724275869600789,2.0,2.0,2.0,6.041392685158225,7.176091259055681,7.041392685158225,6.176091259055681,3.0,2.0,5.633468455579586,2.724275869600789,6.505149978319906,2.0
EH_305_cheese_120d,2.724275869600789,2.0,2.0,2.0,4.491361693834273,6.707570176097937,6.57978359661681,6.176091259055681,3.079181246047625,2.0,5.518513939877887,2.724275869600789,5.041392685158225,2.0
EH_306_cheese_120d,2.724275869600789,2.0,3.0,3.380211241711606,5.204119982655925,6.819543935541868,6.633468455579586,6.176091259055681,2.0,2.0,5.079181246047625,2.724275869600789,6.361727836017593,2.0
EH_307_cheese_120d,2.724275869600789,2.0,3.0,3.079181246047625,5.913813852383717,6.361727836017593,7.531478917042255,6.176091259055681,3.0,3.431363764158987,5.740362689494244,2.724275869600789,6.146128035678238,2.0
EH_308_cheese_120d,2.724275869600789,2.0,3.146128035678238,4.707570176097937,5.079181246047625,6.903089986991944,7.204119982655925,6.176091259055681,3.913813852383717,2.477121254719663,4.778151250383644,2.724275869600789,6.698970004336019,2.0
EH_309_cheese_120d,2.724275869600789,2.0,2.0,2.0,4.380211241711606,6.518513939877887,6.903089986991944,6.176091259055681,2.0,3.146128035678238,4.079181246047625,2.724275869600789,5.845098040014257,2.0
EH_310_cheese_120d,2.724275869600789,2.0,1.0,2.0,2.0,3.0,3.0,6.176091259055681,3.361727836017593,2.0,4.230448921378274,2.724275869600789,4.462397997898956,3.0
EH_311_cheese_120d,2.724275869600789,2.0,3.041392685158225,2.0,5.278753600952829,6.602059991327963,7.0,6.176091259055681,2.0,3.0,5.770852011642144,2.724275869600789,6.477121254719663,2.0
EH_312_cheese_120d,2.724275869600789,2.0,3.0,3.0,5.838849090737256,6.724275869600789,6.778151250383644,6.176091259055681,2.0,3.113943352306837,5.838849090737256,2.724275869600789,5.477121254719663,2.0
EH_313_cheese_120d,2.724275869600789,2.0,2.0,2.0,4.755874855672491,6.792391689498253,6.57978359661681,6.176091259055681,2.0,2.0,5.633468455579586,2.724275869600789,6.301029995663981,2.0
EH_314_cheese_120d,2.724275869600789,2.0,2.0,3.0,5.230448921378274,6.602059991327963,6.903089986991944,6.176091259055681,2.0,2.0,4.113943352306837,2.724275869600789,6.544068044350276,2.0
EH_315_cheese_120d,2.724275869600789,2.0,3.0,3.0,5.806179973983888,6.414973347970818,6.845098040014257,6.176091259055681,2.0,2.0,5.732393759822968,2.724275869600789,6.57978359661681,2.0
EH_316_cheese_120d,2.724275869600789,2.0,2.0,2.0,4.633468455579586,6.505149978319906,6.602059991327963,6.176091259055681,2.0,2.0,5.518513939877887,2.724275869600789,6.518513939877887,2.0
